This is the the full reaction list
A;B;C;Equation;O2(a);O2(X);O2(b);O(3P);O(1D);O3;O-;e;O+;O2+;O3*;;;;;;;;;;;
;Initial Chemical Amount:;;;0;3744500;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
2.2E-18;0.8;0;default;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
1.81E-18;3.8;700;default;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
7E-17;0;0;default;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
4E-14;0;0;default;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
4E-14;0;0;default;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
6.85E-33;-1;-170;default;0;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
4.191E-33;-1;-170;default;0;1;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
2.59E-33;-1;-170;default;0;1;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
9.9018E-34;-0.63;0;default;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
8E-12;0;0;if(1,A,B);0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
7E-12;0;67;default;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
1E-12;0;0;default;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
2.56E-11;0;67;default;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
2.112E-35;0;663;default;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
2.1E-34;0;345;default;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
5.2E-11;0;-2840;default;1;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
1.5E-11;0;0;default;0;0;1;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
